Query DocID Rank Score
1 61597 1 15
1 144022 2 15
1 316035 3 15
1 368450 4 15
1 471806 5 15
1 514408 6 15
1 888641 7 15
1 888642 8 15
1 888643 9 15
1 888644 10 15
1 888647 11 15
1 888650 12 15
1 888652 13 15
1 888654 14 15
1 888656 15 15
1 888657 16 15
1 888658 17 15
1 888659 18 15
1 888660 19 15
1 888663 20 15
1 888666 21 15
1 888667 22 15
1 888670 23 15
1 888671 24 15
1 888672 25 15
1 888674 26 15
1 888675 27 15
1 888677 28 15
1 888680 29 15
1 888683 30 15
1 888686 31 15
1 888688 32 15
1 888694 33 15
1 888698 34 15
1 888699 35 15
1 888700 36 15
1 888702 37 15
1 888704 38 15
1 888708 39 15
1 888709 40 15
1 888714 41 15
1 888715 42 15
1 888717 43 15
1 888718 44 15
1 152559 45 4
1 159713 46 4
1 182398 47 4
1 192195 48 4
1 220487 49 4
1 243808 50 4
15 889253 1 122
15 889210 2 110
15 889216 3 110
15 32984 4 108
15 159469 5 108
15 313798 6 108
15 853949 7 108
15 889188 8 108
15 889194 9 108
15 889201 10 108
15 889205 11 108
15 889209 12 108
15 889213 13 108
15 889217 14 108
15 889221 15 108
15 889223 16 108
15 889229 17 108
15 889230 18 108
15 889239 19 108
15 889248 20 107
15 889234 21 94
15 889240 22 94
15 90597 23 85
15 181243 24 76
15 623454 25 74
15 280911 26 68
15 394843 27 66
15 889219 28 66
15 152305 29 62
15 227716 30 62
15 231387 31 62
15 363489 32 61
15 889183 33 61
15 889199 34 61
15 889250 35 61
15 60361 36 59
15 595589 37 57
15 632231 38 57
15 889197 39 57
15 631349 40 56
15 889193 41 56
15 889242 42 56
15 889190 43 53
15 889182 44 52
15 889185 45 51
15 889206 46 51
15 889224 47 51
15 889228 48 51
15 889235 49 51
15 889238 50 51
