Query DocID Rank Score
1 2045 1 1
1 7834 2 1
1 7844 3 1
1 10177 4 1
1 13441 5 1
1 13783 6 1
1 14646 7 1
1 14740 8 1
1 15388 9 1
1 17796 10 1
1 18101 11 1
1 19100 12 1
1 21449 13 1
1 23187 14 1
1 23666 15 1
1 25474 16 1
1 27117 17 1
1 27507 18 1
1 29705 19 1
1 37170 20 1
1 37196 21 1
1 39078 22 1
1 41213 23 1
1 42942 24 1
1 43213 25 1
1 43494 26 1
1 43901 27 1
1 45905 28 1
1 46587 29 1
1 47075 30 1
1 47363 31 1
1 52788 32 1
1 53485 33 1
1 53488 34 1
1 54374 35 1
1 56254 36 1
1 58095 37 1
1 60710 38 1
1 61090 39 1
1 61597 40 1
1 63999 41 1
1 64267 42 1
1 66687 43 1
1 71022 44 1
1 71171 45 1
1 72880 46 1
1 73607 47 1
1 79591 48 1
1 79777 49 1
1 80379 50 1
15 1 1 1
15 308 2 1
15 311 3 1
15 562 4 1
15 615 5 1
15 667 6 1
15 1503 7 1
15 1670 8 1
15 1729 9 1
15 2202 10 1
15 2409 11 1
15 2450 12 1
15 2452 13 1
15 2657 14 1
15 2800 15 1
15 3299 16 1
15 3841 17 1
15 3901 18 1
15 3914 19 1
15 3915 20 1
15 4041 21 1
15 4068 22 1
15 4158 23 1
15 4178 24 1
15 4179 25 1
15 4182 26 1
15 4194 27 1
15 4198 28 1
15 4202 29 1
15 4208 30 1
15 4533 31 1
15 4633 32 1
15 4709 33 1
15 4889 34 1
15 5021 35 1
15 5302 36 1
15 5506 37 1
15 5689 38 1
15 5842 39 1
15 5923 40 1
15 6106 41 1
15 6221 42 1
15 6471 43 1
15 7000 44 1
15 7009 45 1
15 7109 46 1
15 7148 47 1
15 7209 48 1
15 7376 49 1
15 7524 50 1
