Query DocID Rank Score
1 1 1 1
1 6 2 1
1 8 3 1
1 11 4 1
1 19 5 1
1 22 6 1
1 28 7 1
1 34 8 1
1 39 9 1
1 41 10 1
1 50 11 1
1 56 12 1
1 66 13 1
1 85 14 1
1 86 15 1
1 94 16 1
1 95 17 1
1 100 18 1
1 102 19 1
1 109 20 1
1 110 21 1
1 112 22 1
1 113 23 1
1 116 24 1
1 117 25 1
1 119 26 1
1 120 27 1
1 121 28 1
1 130 29 1
1 131 30 1
1 133 31 1
1 134 32 1
1 135 33 1
1 136 34 1
1 139 35 1
1 165 36 1
1 174 37 1
1 185 38 1
1 189 39 1
1 190 40 1
1 191 41 1
1 192 42 1
1 193 43 1
1 204 44 1
1 206 45 1
1 207 46 1
1 209 47 1
1 215 48 1
1 220 49 1
1 225 50 1
15 1 1 1
15 2 2 1
15 8 3 1
15 16 4 1
15 30 5 1
15 35 6 1
15 36 7 1
15 44 8 1
15 45 9 1
15 47 10 1
15 65 11 1
15 66 12 1
15 71 13 1
15 87 14 1
15 116 15 1
15 143 16 1
15 164 17 1
15 165 18 1
15 166 19 1
15 172 20 1
15 174 21 1
15 189 22 1
15 209 23 1
15 218 24 1
15 273 25 1
15 275 26 1
15 286 27 1
15 290 28 1
15 299 29 1
15 301 30 1
15 308 31 1
15 310 32 1
15 311 33 1
15 315 34 1
15 324 35 1
15 337 36 1
15 339 37 1
15 347 38 1
15 356 39 1
15 364 40 1
15 372 41 1
15 373 42 1
15 376 43 1
15 414 44 1
15 426 45 1
15 431 46 1
15 445 47 1
15 466 48 1
15 503 49 1
15 505 50 1
