Query DocID Rank Score
1 500740 1 939
1 518904 2 939
1 538475 3 939
1 888679 4 763
1 888707 5 763
1 888687 6 688
1 888653 7 577
1 888678 8 577
1 363826 9 519
1 616485 10 514
1 182398 11 513
1 397346 12 513
1 888662 13 512
1 888669 14 512
1 888655 15 511
1 888695 16 511
1 152559 17 507
1 159713 18 507
1 192195 19 507
1 220487 20 507
1 396081 21 507
1 888661 22 507
1 888681 23 507
1 888697 24 507
1 888706 25 507
1 888668 26 502
1 888673 27 501
1 636351 28 500
1 459465 29 468
1 586445 30 394
1 308114 31 350
1 888676 32 317
1 130504 33 313
1 61597 34 291
1 144022 35 291
1 368450 36 291
1 471806 37 291
1 514408 38 291
1 888641 39 291
1 888643 40 291
1 888652 41 291
1 888656 42 291
1 888657 43 291
1 888670 44 291
1 888671 45 291
1 888674 46 291
1 888675 47 291
1 888683 48 291
1 888686 49 291
1 888688 50 291
15 60411 1 343
15 889253 2 321
15 889209 3 285
15 32984 4 284
15 313798 5 284
15 889194 6 284
15 889213 7 284
15 889221 8 284
15 889229 9 284
15 889248 10 284
15 889188 11 283
15 889201 12 283
15 889210 13 282
15 889216 14 282
15 889217 15 282
15 889239 16 282
15 159469 17 281
15 853949 18 281
15 889205 19 281
15 889223 20 281
15 889230 21 281
15 476486 22 275
15 470551 23 236
15 889197 24 217
15 238592 25 207
15 343313 26 194
15 315038 27 192
15 803082 28 183
15 470823 29 179
15 489888 30 167
15 264765 31 166
15 793101 32 162
15 411799 33 151
15 445842 34 147
15 405124 35 142
15 595560 36 131
15 648654 37 131
15 889877 38 131
15 631349 39 128
15 803471 40 127
15 20819 41 126
15 581026 42 124
15 639861 43 120
15 741116 44 120
15 280911 45 118
15 889219 46 118
15 736500 47 117
15 467938 48 113
15 832455 49 113
15 623454 50 112
